,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.nearest_syn_neighbor_distance.mean,0.5414040933745498,0.5414040933745498,0.5414040933745498,0.0,0.5414040933745498,0.0,1,0,0.02,minimize
sanity.close_values_probability.score,0.17543859649122806,0.17543859649122806,0.17543859649122806,0.0,0.17543859649122806,0.0,1,0,0.0,maximize
sanity.distant_values_probability.score,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.0,0.18421052631578946,0.0,1,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.05146990134816869,0.05146990134816869,0.05146990134816869,0.0,0.05146990134816869,0.0,1,0,0.0,minimize
stats.inv_kl_divergence.marginal,0.1985150498497017,0.1985150498497017,0.1985150498497017,0.0,0.1985150498497017,0.0,1,0,0.0,maximize
stats.ks_test.marginal,0.38200339558573854,0.38200339558573854,0.38200339558573854,0.0,0.38200339558573854,0.0,1,0,0.0,maximize
performance.linear_model.gt,0.9691358024691358,0.9691358024691358,0.9691358024691358,0.0,0.9691358024691358,0.0,1,0,0.0,maximize
performance.linear_model.syn_id,0.9862113195446529,0.9862113195446529,0.9862113195446529,0.0,0.9862113195446529,0.0,1,0,0.0,maximize
performance.linear_model.syn_ood,0.9910714285714285,0.9910714285714285,0.9910714285714285,0.0,0.9910714285714285,0.0,1,0,0.0,maximize
performance.mlp.gt,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,1,0,0.0,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0.0,maximize
performance.xgb.gt,0.9932659932659934,0.9932659932659934,0.9932659932659934,0.0,0.9932659932659934,0.0,1,0,0.0,maximize
performance.xgb.syn_id,0.94668911335578,0.94668911335578,0.94668911335578,0.0,0.94668911335578,0.0,1,0,0.0,maximize
performance.xgb.syn_ood,0.9196428571428572,0.9196428571428572,0.9196428571428572,0.0,0.9196428571428572,0.0,1,0,0.0,maximize
detection.detection_xgb.mean,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,minimize
detection.detection_mlp.mean,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,minimize
detection.detection_linear.mean,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,minimize
privacy.delta-presence.score,16.999999830000004,16.999999830000004,16.999999830000004,0.0,16.999999830000004,0.0,1,0,0.0,maximize
privacy.identifiability_score.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
privacy.identifiability_score.score_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize
