metric,mean_across_datasets
coverage_score,0.9400000000000001
detection.detection_gmm.mean,0.4943861854718012
detection.detection_linear.mean,0.5766121676001082
detection.detection_xgb.mean,0.7032189991678464
mmd,0.008513333333333335
nn_identifiability,0.05693333333333332
prdc_precision,0.7348933333333333
prdc_recall,0.8723733333333333
privacy.delta-presence.score,32.170158790014376
privacy.distinct l-diversity.gt,8.6
privacy.distinct l-diversity.syn,136.2666666766667
privacy.identifiability_score.,0.12898235592483193
privacy.identifiability_score._privacy.identifiability_score.OC,0.11680379655124898
privacy.k-anonymization.gt,8.6
privacy.k-anonymization.syn,136.2666666766667
privacy.k-map.score,3.066666666666667
sanity.close_values_probability.score,0.9040374570920428
sanity.common_rows_proportion.score,0.0
sanity.data_mismatch.score,0.0
sanity.distant_values_probability.score,0.0016780114319905333
sanity.nearest_syn_neighbor_distance.mean,0.07191192310981898
stats.alpha_precision.authenticity_OC,0.4023462284773379
stats.alpha_precision.authenticity_naive,0.5803858533780218
stats.alpha_precision.delta_coverage_beta_OC,0.41908161823015433
stats.alpha_precision.delta_coverage_beta_naive,0.39469347996812076
stats.alpha_precision.delta_precision_alpha_OC,0.6862719334074028
stats.alpha_precision.delta_precision_alpha_naive,0.8396211562835892
stats.inv_kl_divergence.marginal,0.8294736523085431
stats.jensenshannon_dist.marginal,0.008992961620495418
stats.ks_test.marginal,0.8868668405610638
stats.max_mean_discrepancy.joint,0.02088058653444046
stats.prdc.coverage,0.47108705041295834
stats.prdc.density,0.9604374336983792
stats.prdc.precision,0.9620766336392705
stats.prdc.recall,0.9648933740545228
stats.wasserstein_dist.joint,93257.76889908164
performance.feat_rank_distance.corr_class,0.36072738251501807
performance.feat_rank_distance.corr_reg,0.5288586954784892
performance.feat_rank_distance.pvalue_class,2.135816568291037e-05
performance.feat_rank_distance.pvalue_reg,0.10209167027335857
performance.linear_model.gt_class,0.7881636370174863
performance.linear_model.gt_reg,0.5939638320775591
performance.linear_model.syn_id_class,0.7855702869304495
performance.linear_model.syn_id_reg,-0.12106484445263882
performance.linear_model.syn_ood_class,0.7856707078496189
performance.linear_model.syn_ood_reg,-0.17473487770639026
performance.mlp.gt_class,0.6508153060846863
performance.mlp.gt_reg,-3097.2224824523364
performance.mlp.syn_id_class,0.6455938124040429
performance.mlp.syn_id_reg,-5409.859797414363
performance.mlp.syn_ood_class,0.6386095304954954
performance.mlp.syn_ood_reg,-6299.928103562963
performance.xgb.gt_class,0.9153823025521978
performance.xgb.gt_reg,0.7156528768685264
performance.xgb.syn_id_class,0.8572120124486197
performance.xgb.syn_id_reg,0.5479514147471636
performance.xgb.syn_ood_class,0.8572783808119766
performance.xgb.syn_ood_reg,0.5470218795414107
