metric,S2_Center
coverage_score,0.9620156249999999
detection.detection_gmm.mean,0.4723476897495998
detection.detection_linear.mean,0.6948467444232412
detection.detection_xgb.mean,0.819662548549045
mmd,0.05861875
nn_identifiability,0.364478125
prdc_precision,0.8910125
prdc_recall,0.77866875
privacy.delta-presence.score,34.95423967541926
privacy.distinct l-diversity.gt,8.875
privacy.distinct l-diversity.syn,4.000000010000001
privacy.identifiability_score.,0.3016479034645116
privacy.identifiability_score._privacy.identifiability_score.OC,0.3242867748502524
privacy.k-anonymization.gt,8.875
privacy.k-anonymization.syn,4.000000010000001
privacy.k-map.score,9.375
sanity.close_values_probability.score,0.7651266218053834
sanity.common_rows_proportion.score,0.010825290573524948
sanity.data_mismatch.score,0.0
sanity.distant_values_probability.score,0.013042175394309052
sanity.nearest_syn_neighbor_distance.mean,0.12763301815141798
stats.alpha_precision.authenticity_OC,0.5186342326131393
stats.alpha_precision.authenticity_naive,0.5575667940752027
stats.alpha_precision.delta_coverage_beta_OC,0.4301055370018716
stats.alpha_precision.delta_coverage_beta_naive,0.37683975652712765
stats.alpha_precision.delta_precision_alpha_OC,0.7946473924482561
stats.alpha_precision.delta_precision_alpha_naive,0.8324004263346897
stats.inv_kl_divergence.marginal,0.6901525131161962
stats.jensenshannon_dist.marginal,0.01725226818178506
stats.ks_test.marginal,0.7753763265156693
stats.max_mean_discrepancy.joint,0.01864046129453662
stats.prdc.coverage,0.6117406913582388
stats.prdc.density,0.9925249198175667
stats.prdc.precision,0.9731077914425148
stats.prdc.recall,0.8541111238225136
stats.wasserstein_dist.joint,0.5092533179558814
performance.feat_rank_distance.corr_class,0.20305478785625164
performance.feat_rank_distance.corr_reg,0.4748208200746754
performance.feat_rank_distance.pvalue_class,0.0886590116583791
performance.feat_rank_distance.pvalue_reg,0.2775655963494276
performance.linear_model.gt_class,0.8814151078455157
performance.linear_model.gt_reg,0.5939638320775591
performance.linear_model.syn_id_class,0.8681789650666296
performance.linear_model.syn_id_reg,-0.5276664758004023
performance.linear_model.syn_ood_class,0.8659167836885856
performance.linear_model.syn_ood_reg,-0.5585287163410414
performance.mlp.gt_class,0.6861443407215471
performance.mlp.gt_reg,-3097.2224824523364
performance.mlp.syn_id_class,0.6576507846418077
performance.mlp.syn_id_reg,-18321.77305722711
performance.mlp.syn_ood_class,0.6663262273520657
performance.mlp.syn_ood_reg,-8723.365602620996
performance.xgb.gt_class,0.949051309050088
performance.xgb.gt_reg,0.7156528768685264
performance.xgb.syn_id_class,0.8996211398388291
performance.xgb.syn_id_reg,0.11206799985267439
performance.xgb.syn_ood_class,0.8979173017787657
performance.xgb.syn_ood_reg,0.11511112530984807
