metric,S5_PrivacyAware
coverage_score,0.985421875
detection.detection_gmm.mean,0.44942014243267353
detection.detection_linear.mean,0.7377789920361905
detection.detection_xgb.mean,0.8335256707243186
mmd,0.082296875
nn_identifiability,0.7157156250000001
prdc_precision,0.8185593750000001
prdc_recall,0.712209375
privacy.delta-presence.score,67.91314532450457
privacy.distinct l-diversity.gt,8.875
privacy.distinct l-diversity.syn,4.781250010000001
privacy.identifiability_score.,0.27646850479285956
privacy.identifiability_score._privacy.identifiability_score.OC,0.3065280536100878
privacy.k-anonymization.gt,8.875
privacy.k-anonymization.syn,4.781250010000001
privacy.k-map.score,7.09375
sanity.close_values_probability.score,0.643345979010005
sanity.common_rows_proportion.score,0.0104737442887647
sanity.data_mismatch.score,0.0
sanity.distant_values_probability.score,0.025212321122755517
sanity.nearest_syn_neighbor_distance.mean,0.18530772994401165
stats.alpha_precision.authenticity_OC,0.59329165346317
stats.alpha_precision.authenticity_naive,0.6941355579482804
stats.alpha_precision.delta_coverage_beta_OC,0.3409288547356162
stats.alpha_precision.delta_coverage_beta_naive,0.29140977333357687
stats.alpha_precision.delta_precision_alpha_OC,0.6246358902235707
stats.alpha_precision.delta_precision_alpha_naive,0.6258808220040081
stats.inv_kl_divergence.marginal,0.7644990777328491
stats.jensenshannon_dist.marginal,0.022968153241130346
stats.ks_test.marginal,0.7494798361939882
stats.max_mean_discrepancy.joint,0.022418656301176426
stats.prdc.coverage,0.5516330758759942
stats.prdc.density,0.862309233963646
stats.prdc.precision,0.9566444743748997
stats.prdc.recall,0.9741954751843612
stats.wasserstein_dist.joint,0.5282684281701222
performance.feat_rank_distance.corr_class,0.19332138140471397
performance.feat_rank_distance.corr_reg,0.6819821654739057
performance.feat_rank_distance.pvalue_class,0.11058796079500656
performance.feat_rank_distance.pvalue_reg,0.03262047881662539
performance.linear_model.gt_class,0.8814151078455157
performance.linear_model.gt_reg,0.5939638320775591
performance.linear_model.syn_id_class,0.854654439918059
performance.linear_model.syn_id_reg,0.5101217773352137
performance.linear_model.syn_ood_class,0.8536301993422749
performance.linear_model.syn_ood_reg,0.4972330606054475
performance.mlp.gt_class,0.6861443407215471
performance.mlp.gt_reg,-3097.2224824523364
performance.mlp.syn_id_class,0.6431016929328781
performance.mlp.syn_id_reg,-5445.555325571448
performance.mlp.syn_ood_class,0.6920895733337179
performance.mlp.syn_ood_reg,-5090.247740749842
performance.xgb.gt_class,0.949051309050088
performance.xgb.gt_reg,0.7156528768685264
performance.xgb.syn_id_class,0.8872146849512136
performance.xgb.syn_id_reg,0.025210316401962696
performance.xgb.syn_ood_class,0.8862109757670776
performance.xgb.syn_ood_reg,0.10520951357673314
