metric,S6_Stratified
coverage_score,0.9917156250000001
detection.detection_gmm.mean,0.5007372419692824
detection.detection_linear.mean,0.6391920683838364
detection.detection_xgb.mean,0.7482110005605798
mmd,0.031275
nn_identifiability,0.6703125000000001
prdc_precision,0.767209375
prdc_recall,0.854509375
privacy.delta-presence.score,6.686810868276442
privacy.distinct l-diversity.gt,8.875
privacy.distinct l-diversity.syn,5.093750010000001
privacy.identifiability_score.,0.3238825346013555
privacy.identifiability_score._privacy.identifiability_score.OC,0.3081120600294453
privacy.k-anonymization.gt,8.875
privacy.k-anonymization.syn,5.093750010000001
privacy.k-map.score,9.625
sanity.close_values_probability.score,0.7266847749153985
sanity.common_rows_proportion.score,0.008333333330555557
sanity.data_mismatch.score,0.0
sanity.distant_values_probability.score,0.02060265151250562
sanity.nearest_syn_neighbor_distance.mean,0.1553848292838916
stats.alpha_precision.authenticity_OC,0.5474195235418979
stats.alpha_precision.authenticity_naive,0.541449902409742
stats.alpha_precision.delta_coverage_beta_OC,0.3951826176388866
stats.alpha_precision.delta_coverage_beta_naive,0.41661792376750595
stats.alpha_precision.delta_precision_alpha_OC,0.7291492819501227
stats.alpha_precision.delta_precision_alpha_naive,0.8092495285780767
stats.inv_kl_divergence.marginal,0.836733728343035
stats.jensenshannon_dist.marginal,0.01684314212812855
stats.ks_test.marginal,0.8154681333108533
stats.max_mean_discrepancy.joint,0.016159415768041765
stats.prdc.coverage,0.6763625503476464
stats.prdc.density,0.890059354022608
stats.prdc.precision,0.9516087407756324
stats.prdc.recall,0.9791886415794084
stats.wasserstein_dist.joint,0.5147168497787789
performance.feat_rank_distance.corr_class,0.27609226571231876
performance.feat_rank_distance.corr_reg,0.619741500069144
performance.feat_rank_distance.pvalue_class,0.1733739792915868
performance.feat_rank_distance.pvalue_reg,0.07828221507667342
performance.linear_model.gt_class,0.8814151078455157
performance.linear_model.gt_reg,0.5939638320775591
performance.linear_model.syn_id_class,0.8890473089169105
performance.linear_model.syn_id_reg,0.5816708021468113
performance.linear_model.syn_ood_class,0.8890921950467559
performance.linear_model.syn_ood_reg,0.5703373014308722
performance.mlp.gt_class,0.6861443407215471
performance.mlp.gt_reg,-3097.2224824523364
performance.mlp.syn_id_class,0.6611149658835096
performance.mlp.syn_id_reg,-5476.221604140686
performance.mlp.syn_ood_class,0.695379415444906
performance.mlp.syn_ood_reg,-5147.781377556474
performance.xgb.gt_class,0.949051309050088
performance.xgb.gt_reg,0.7156528768685264
performance.xgb.syn_id_class,0.9236530149381648
performance.xgb.syn_id_reg,0.5867887815093438
performance.xgb.syn_ood_class,0.9229048994946089
performance.xgb.syn_ood_reg,0.5721022581580631
